Program,Statistic,pvalue,FDR,Eta_squared
0,50.89138064897695,5.1598211274825094e-11,5.159821127482509e-10,0.412433779794157
3,30.721781991964335,9.727833022472544e-07,4.863916511236272e-06,0.20643313570299865
1,23.749457753370127,2.817657854474367e-05,9.39219284824789e-05,0.1788226085691429
4,22.556032414720995,4.996923637307064e-05,0.0001249230909326766,0.21995349571054174
5,19.32895316057839,0.00023375133191145102,0.00046750266382290204,0.17391081942604558
6,5.584598152379115,0.13366536374733778,0.22277560624556297,0.030064231405670022
7,3.292543756014716,0.34868176405608287,0.4595343861435182,0.03522978284267741
8,2.899618228564685,0.40736241032086695,0.4595343861435182,0.012839546913410722
2,2.860848052680414,0.4135809475291664,0.4595343861435182,0.052712975256771356
9,1.323570976952151,0.7235436699565301,0.7235436699565301,0.0127341055873043
