,0,1,2,3,4,5,6,7,8,9
A2M→LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AANAT→MTNR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AANAT→MTNR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE→AGTR2,1.582027181413742e-06,1.582027181413742e-06,0.0,0.0,0.0,0.0,0.0,1.582027181413742e-06,0.0,0.0
ACE→BDKRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR2→ADRB2,0.0,0.0,0.0003080513323758449,0.0003080513323758449,0.0003080513323758449,0.0,0.0003080513323758449,0.0,0.0003080513323758449,0.0003080513323758449
ACTR2→LDLR,9.293674437013458e-06,9.293674437013458e-06,0.0,0.0,0.0,0.0,0.0,9.293674437013458e-06,0.0,0.0
ACTR2→LRP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10→AXL,1.1387739702202092e-05,1.1387739702202092e-05,0.0,0.0,0.0,0.0,0.0,1.1387739702202092e-05,0.0,0.0
ADAM10→CADM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10→CD44,0.0,0.0,1.4990638938152036e-05,1.4990638938152036e-05,1.4990638938152036e-05,0.0,1.4990638938152036e-05,0.0,1.4990638938152036e-05,1.4990638938152036e-05
ADAM10→EPHA3,7.041307863237701e-07,7.041307863237701e-07,2.710176643671259e-05,2.710176643671259e-05,2.710176643671259e-05,0.0,2.710176643671259e-05,7.041307863237701e-07,2.710176643671259e-05,2.710176643671259e-05
ADAM10→GPNMB,1.162647339634677e-07,1.162647339634677e-07,0.0,0.0,0.0,0.0,0.0,1.162647339634677e-07,0.0,0.0
ADAM10→IL6R,2.7122295302328017e-06,2.7122295302328017e-06,0.0,0.0,0.0,0.0,0.0,2.7122295302328017e-06,0.0,0.0
ADAM10→MET,1.2256414502980604e-07,1.2256414502980604e-07,0.0,0.0,0.0,0.0,0.0,1.2256414502980604e-07,0.0,0.0
ADAM10→NOTCH1,6.646855980616764e-05,6.646855980616764e-05,1.4943776327856835e-05,1.4943776327856835e-05,1.4943776327856835e-05,0.0,1.4943776327856835e-05,6.646855980616764e-05,1.4943776327856835e-05,1.4943776327856835e-05
ADAM10→NOTCH2,4.595725474917757e-05,4.595725474917757e-05,3.3379948619530353e-05,3.3379948619530353e-05,3.3379948619530353e-05,0.0,3.3379948619530353e-05,4.595725474917757e-05,3.3379948619530353e-05,3.3379948619530353e-05
ADAM10→NRCAM,2.177095073393008e-06,2.177095073393008e-06,0.0,0.0,0.0,0.0,0.0,2.177095073393008e-06,0.0,0.0
ADAM10→TREM2,5.243876286833948e-08,5.243876286833948e-08,0.0,0.0,0.0,6.112321501859698e-05,0.0,5.243876286833948e-08,0.0,0.0
ADAM10→TSPAN10,4.864950343962054e-07,4.864950343962054e-07,0.0,0.0,0.0,0.0,0.0,4.864950343962054e-07,0.0,0.0
ADAM10→TSPAN12,2.850225979714657e-06,2.850225979714657e-06,0.00038056859091851206,0.00038056859091851206,0.00038056859091851206,0.0,0.00038056859091851206,2.850225979714657e-06,0.00038056859091851206,0.00038056859091851206
ADAM10→TSPAN14,0.0,0.0,1.6409458855602127e-05,1.6409458855602127e-05,1.6409458855602127e-05,0.0,1.6409458855602127e-05,0.0,1.6409458855602127e-05,1.6409458855602127e-05
ADAM10→TSPAN15,2.0097904309190248e-07,2.0097904309190248e-07,1.6064391526489744e-05,1.6064391526489744e-05,1.6064391526489744e-05,0.0001879832691576957,1.6064391526489744e-05,2.0097904309190248e-07,1.6064391526489744e-05,1.6064391526489744e-05
ADAM10→TSPAN17,1.6425485894012091e-07,1.6425485894012091e-07,0.00096952958985112,0.00096952958985112,0.00096952958985112,0.0,0.00096952958985112,1.6425485894012091e-07,0.00096952958985112,0.00096952958985112
ADAM10→TSPAN5,4.378893331671642e-09,4.378893331671642e-09,0.0,0.0,0.0,0.00029954508025210994,0.0,4.378893331671642e-09,0.0,0.0
ADAM11→ITGA4,1.8176250669086314e-08,1.8176250669086314e-08,0.0,0.0,0.0,0.0,0.0,1.8176250669086314e-08,0.0,0.0
ADAM12→ITGA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM12→ITGB1,0.0,0.0,2.259504333225144e-06,2.259504333225144e-06,2.259504333225144e-06,0.0,2.259504333225144e-06,0.0,2.259504333225144e-06,2.259504333225144e-06
ADAM12→SDC4,4.446771633668145e-06,4.446771633668145e-06,0.0,0.0,0.0,0.0,0.0,4.446771633668145e-06,0.0,0.0
ADAM15→ITGA5,1.952543559878986e-07,1.952543559878986e-07,0.0,0.0,0.0,0.0,0.0,1.952543559878986e-07,0.0,0.0
ADAM15→ITGA9,0.0,0.0,2.527216548185316e-05,2.527216548185316e-05,2.527216548185316e-05,0.0008880587665202179,2.527216548185316e-05,0.0,2.527216548185316e-05,2.527216548185316e-05
ADAM15→ITGAV,0.0,0.0,1.8013613754073587e-05,1.8013613754073587e-05,1.8013613754073587e-05,0.0,1.8013613754073587e-05,0.0,1.8013613754073587e-05,1.8013613754073587e-05
ADAM15→ITGB1,0.0,0.0,2.63914951954022e-05,2.63914951954022e-05,2.63914951954022e-05,0.0,2.63914951954022e-05,0.0,2.63914951954022e-05,2.63914951954022e-05
ADAM15→ITGB3,0.0,0.0,6.976123129973442e-05,6.976123129973442e-05,6.976123129973442e-05,0.0,6.976123129973442e-05,0.0,6.976123129973442e-05,6.976123129973442e-05
ADAM17→ERBB4,1.882533893659338e-06,1.882533893659338e-06,0.0,0.0,0.0,0.0,0.0,1.882533893659338e-06,0.0,0.0
ADAM17→IL6R,2.7215860289542426e-08,2.7215860289542426e-08,0.0,0.0,0.0,0.0,0.0,2.7215860289542426e-08,0.0,0.0
ADAM17→ITGA5,2.3581698054959308e-06,2.3581698054959308e-06,0.0,0.0,0.0,0.0,0.0,2.3581698054959308e-06,0.0,0.0
ADAM17→ITGB1,1.1396042607837776e-06,1.1396042607837776e-06,0.0,0.0,0.0,0.0,0.0,1.1396042607837776e-06,0.0,0.0
ADAM17→MET,3.8559292692902895e-05,3.8559292692902895e-05,0.0,0.0,0.0,4.0778354365444806e-05,0.0,3.8559292692902895e-05,0.0,0.0
ADAM17→MUC1,5.078646278520131e-07,5.078646278520131e-07,0.0,0.0,0.0,7.708237837294397e-05,0.0,5.078646278520131e-07,0.0,0.0
ADAM17→NOTCH1,2.0119035242174347e-08,2.0119035242174347e-08,0.0,0.0,0.0,0.0,0.0,2.0119035242174347e-08,0.0,0.0
ADAM17→RHBDF2,0.0,0.0,5.1864892005181365e-05,5.1864892005181365e-05,5.1864892005181365e-05,0.0,5.1864892005181365e-05,0.0,5.1864892005181365e-05,5.1864892005181365e-05
ADAM23→ITGA4,3.861288258985297e-06,3.861288258985297e-06,0.00657687455880121,0.00657687455880121,0.00657687455880121,8.331089726435376e-05,0.00657687455880121,3.861288258985297e-06,0.00657687455880121,0.00657687455880121
ADAM23→ITGA5,2.7521823115436118e-06,2.7521823115436118e-06,6.632472411012338e-06,6.632472411012338e-06,6.632472411012338e-06,0.0,6.632472411012338e-06,2.7521823115436118e-06,6.632472411012338e-06,6.632472411012338e-06
ADAM23→ITGB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM28→ITGA4,1.2071833217351675e-05,1.2071833217351675e-05,0.0,0.0,0.0,0.0,0.0,1.2071833217351675e-05,0.0,0.0
ADAM29→ITGA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM2→CD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM2→ITGA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM2→ITGA9,6.150984025528778e-08,6.150984025528778e-08,0.0,0.0,0.0,0.0,0.0,6.150984025528778e-08,0.0,0.0
ADAM2→ITGB1,1.5295412763734987e-06,1.5295412763734987e-06,0.0,0.0,0.0,0.0,0.0,1.5295412763734987e-06,0.0,0.0
ADAM2→ITGB7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM7→ITGA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM7→ITGB7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM9→ITGA3,2.637104066581619e-07,2.637104066581619e-07,0.0,0.0,0.0,0.0,0.0,2.637104066581619e-07,0.0,0.0
ADAM9→ITGA6,3.490035573793027e-06,3.490035573793027e-06,0.0,0.0,0.0,2.0837608616194077e-05,0.0,3.490035573793027e-06,0.0,0.0
ADAM9→ITGAV,1.7345118797689403e-07,1.7345118797689403e-07,0.0,0.0,0.0,0.0,0.0,1.7345118797689403e-07,0.0,0.0
ADAM9→ITGB1,3.9506778823150853e-07,3.9506778823150853e-07,0.0,0.0,0.0,0.00031691610655600543,0.0,3.9506778823150853e-07,0.0,0.0
ADAM9→ITGB5,7.98334006819386e-08,7.98334006819386e-08,0.0,0.0,0.0,0.0,0.0,7.98334006819386e-08,0.0,0.0
