,Best_Model,Best_R2
0,Extra Trees,0.9264784067729867
1,Extra Trees,0.9353859666389565
2,XGBoost,-0.25169686926717505
3,XGBoost,0.8953404881763051
4,XGBoost,0.6691838941797663
5,LightGBM,0.6921823353885466
6,XGBoost,0.024584150387635173
7,Extra Trees,0.061619766415713095
8,XGBoost,0.26351877464626927
9,XGBoost,0.793433604294606
