Program,Statistic,pvalue,FDR,Eta_squared
0,60.938417420959496,2.4069159254258803e-09,2.4069159254258803e-08,0.43783114707951676
3,41.28356096558794,1.0051558590352048e-05,5.025779295176023e-05,0.22626630695680702
4,35.13191553360894,0.00011855499014774887,0.00039518330049249624,0.3468517149408605
1,34.26376301413355,0.00016662516334015574,0.00041656290835038936,0.3381577791230117
5,27.362611306509592,0.0022814171684489583,0.004562834336897917,0.21288652618805434
6,16.546892474658407,0.08501087308890909,0.14168478848151517,0.03151239307700294
7,13.505269527273496,0.19677667409064434,0.2459708426133054,0.03681492711682137
9,13.941291276515305,0.17568637811030824,0.2459708426133054,0.03341419347505176
2,12.067279784796598,0.2805789574248984,0.311754397138776,0.055485577671570335
8,10.64840801369521,0.3855579547776109,0.3855579547776109,0.01871640765047474
