,Random Forest,Extra Trees,XGBoost,LightGBM
0,0.8915443937306106,0.9264784067729867,0.9083606483394122,0.8902981285703047
1,0.9242696853284462,0.9353859666389565,0.930448877537774,0.9286920097789095
2,-10.65705157666696,-4.895727546636882,-0.25169686926717505,-146.5518075773061
3,0.619384261317055,0.7721362425157718,0.8953404881763051,0.6250121388222455
4,0.591308161261884,0.6670914396148568,0.6691838941797663,0.6623145244541415
5,0.6114588065651076,0.6505978731321539,0.6835090851035518,0.6921823353885466
6,-1.9489180258173917,-0.371063979686455,0.024584150387635173,-31.323226445090924
7,-0.07831933808050384,0.061619766415713095,0.057787917999944316,-5.824742188406481
8,-0.8034427062264131,-0.79245612959935,0.26351877464626927,-0.41488620185378333
9,0.7297837307946395,0.41921171211072505,0.793433604294606,0.3809182252187443
