Model,Mean_R2,Median_R2,Programs_R2_gt_0.6
Random Forest,-0.9119982607793524,0.6013834839134958,5
Extra Trees,-0.1626726248721524,0.5349047926214395,5
XGBoost,0.4974470571398089,0.6763464896416591,6
LightGBM,-17.993524505042437,0.5029651820204949,5
