,0,1,2,3,4,5,6,7,8,9
wu_natgen_CID3586,0.24137143470973058,0.04522233393993316,0.015487631111755204,0.0,0.17966224284683266,0.07643766907317043,0.0061147611815209005,0.02480191492104348,0.0,0.034609020802967204
wu_natgen_CID3921,0.45839219003781834,0.10404541180177218,0.005253678387627106,0.0,0.1035801562687176,0.2875535523136106,0.016224352598095283,0.012296917163441107,0.0,0.16202132922967477
wu_natgen_CID45171,0.23265218006612706,0.0,0.0,0.034655081797453524,0.04699662693750193,0.31053478778292826,0.008113246975216731,0.0023874058594940697,0.0,0.062480939573267766
wu_natgen_CID3838,0.2941374010547815,0.891903933002819,0.002454839595453266,0.3594914190979603,0.0,0.17581940414329725,0.0,0.0013942943036908844,0.03851967142899233,0.16513852291865183
wu_natgen_CID4066,0.18468851768057493,0.046160071477619566,0.0,0.0218960577969719,0.20230883529218616,0.22572406862694452,0.010494565518279621,0.02151018837114478,0.018900377936243426,0.0646350187559021
wu_natgen_CID44041,0.0,0.0,0.0003744894932275624,0.0,0.2760728822957186,0.15085509137557415,0.01317660336160846,0.0,0.06407301763771928,0.2180466807596471
wu_natgen_CID4465,0.018214576285378144,0.022692381439751372,0.0,0.0,0.027022983652193227,0.23754612073344172,0.0,0.0033788791165858976,0.01468975373623579,0.0
wu_natgen_CID4495,0.9331593481155293,0.13318429767101359,0.003956341547614386,0.0,0.12246074184329123,0.1314931246140742,0.010617453484814542,0.01173441634135881,0.0,0.04597958504636509
wu_natgen_CID44971,0.42465337058864877,0.0,0.005396843252930747,0.0,0.32908056568947375,0.10218095650298507,0.014584240150979127,0.029109140233585032,0.0,0.26095420061376834
wu_natgen_CID44991,0.4468562023381646,0.0,0.0,0.057742818791504634,0.01939348829629906,0.3063026035833285,0.018056275210057465,0.0,0.16116570116106035,0.1911736339746347
wu_natgen_CID4513,0.5273520550212931,0.12316578503747373,0.0,0.09513481753977063,0.09329182787115961,0.19642152149317874,0.0,0.0023207047657185513,0.3971119247746549,0.07116379415232985
wu_natgen_CID4515,0.17335911386242592,0.1808468535140214,0.007495600907204248,0.0,0.0,0.5380326939062833,0.0113942113919636,0.016510343592161556,0.2688226706699081,0.002015906071954025
wu_natgen_CID4523,0.1722773500573308,0.0,0.0,0.0,0.0,0.41739290863181455,0.0023734592106641624,0.01303183275882018,0.03000006662589324,0.0
wu_natgen_CID3963,0.5309702286426328,0.023506959635187643,0.0,0.07129711076142539,0.0,0.389121988691385,0.023296488570304787,0.01693169191542516,0.0,0.008332913760230513
wu_natgen_CID4461,0.0016431799155020113,0.010143370006990976,0.0,0.0,0.045424942741902924,0.15356568574249563,0.0,0.0,0.0,0.0
wu_natgen_CID4463,0.29103047774209545,0.0,0.0,0.0,0.11040081529168903,0.13598889953827686,0.00481247902892536,0.003205779516119384,0.0,0.2221585683490482
wu_natgen_CID4471,0.0,0.11144029253580548,0.0,0.0,0.4617916693611546,0.13765081100273382,0.015377854609673338,0.06270083671667503,0.19970901167236205,0.2832151117601457
wu_natgen_CID4530N,0.0,0.11745999319239439,0.0,0.0,0.3026671076071785,0.2507175096580335,0.01760892733939128,0.01737118065149128,0.09970475502244916,0.35883846287812665
wu_natgen_CID4535,0.00806640562583361,0.052713249631897954,0.01602396660869461,0.0,0.2885027157462957,0.3264961516234626,0.03625826579057695,0.008167151139748112,0.0,0.42275989106330963
wu_natgen_CID3941,0.058217500583240406,0.07092291245242506,0.0,0.039641442998999354,0.1470744950310707,0.12218694346128318,0.0,0.0,0.0,0.0
wu_natgen_CID3948,0.21706461706630503,0.060935243440190676,0.0,0.05327434108359039,0.08224626877498649,0.20542124306764603,0.0,0.0,0.0,0.05077328142520709
wu_natgen_CID4067,0.0025506763686440953,0.0410703887084979,0.0,0.10236852844907916,0.14363089053372324,0.27003303116955724,0.0,0.0,0.0011510592150170012,0.16419448406794498
wu_natgen_CID4290A,0.0,0.09279362152386336,0.0,0.1765049414578292,0.10774885454998195,0.2878515898455315,0.0016479890591326776,0.0,0.007480632929221355,0.003054968693461385
wu_natgen_CID4398,0.08256990439969222,0.13641279156674896,0.0,0.0,0.07552210830655041,0.32187054395095815,0.0,0.010087196552413155,0.0,0.0
pal_Patient 0001,0.0,0.0,0.0,0.1354856362703409,0.0,0.12395366129748135,0.0,0.0,0.0,0.0
pal_Patient 0025,0.0,0.0,0.0,0.37343756775168996,0.0,0.3862490655343954,0.007204333958153742,0.0,0.0,0.03604452723302302
pal_Patient 0029-7C,0.0,0.0,0.003139221054752645,0.0,0.09274564118290543,0.29052522238079354,0.008015432802895803,0.003779164295415904,0.0,0.16954430107863416
pal_Patient 0029-9C,0.0,0.0,0.0,0.09111715843612152,0.036679639173332994,0.23672437656326684,0.006555458348644687,0.0,0.0,0.1855281852075408
pal_Patient 0032,0.0,0.03652758031702392,0.0,0.0,0.1328247314299386,0.26649373653815156,0.004821344343599595,0.0,0.10464569951717012,0.0
pal_Patient 0040,0.0,0.0,0.000691016276162801,0.07442600367170712,0.009907851556863903,0.13882891984493376,0.0,0.0,0.0,0.0
pal_Patient 0042,0.0,0.0,0.0,0.19267370125190442,0.0021879844104980926,0.2193809416767772,0.0,0.0,0.0,0.0
pal_Patient 0043,0.0,0.0,0.0,0.14814933365987792,0.012034453531690385,0.3031513731862924,0.0,0.0,0.0,0.0
pal_Patient 0056,0.0,0.0,0.0,0.03916766971711194,0.008515992512032299,0.04487139052179346,0.0,0.0,0.0,0.0
pal_Patient 0064,0.0,0.0017472945666316077,0.0,0.03388101215924728,0.049220207155636325,0.12768287459388186,0.0,0.0,0.003892641353370496,0.010108186525131832
pal_Patient 0068,0.016716306990150816,0.0,0.0,0.0,0.0,0.012231254489456602,0.0,0.0,0.0,0.04002720052607437
